#Tax ID	Gene ID	PubMed ID (PMID) list	last update timestamp	GeneRIF text
7	5692769	27190162	2017-11-18 13:38	we investigated how Azorhizobium caulinodans regulates ROS resistance. We found that in-frame deletions of a gene encoding the putative catalase-peroxidase katG or a gene encoding a LysR-family regulatory protein, oxyR, exhibited increased sensitivity to H2O2 We then showed that OxyR positively regulated katG expression in an H2O2-independent fashion [oxyR].
24	5129993	26235439	2016-08-06 11:16	study demonstrate that polar positioning of the flagellar system, but not of the chemotaxis system, depends on the GTPase FlhF.[FlhF].
24	5129993	27216815	2017-06-10 12:02	Three Cas proteins (Cas6f, Cas7fv, Cas5fv) and mature CRISPR RNAs were shown to be required for the assembly of an interference complex termed Cascade. [Cas6f];[Cas7fv];[Cas5fv]
24	5129993	28500045	2017-12-16 11:12	LrbS activates LrbA which further promotes the expression of lrbR in response to sodium lactate. (LrbS, Lrb, -LrbR)
34	4126706	25803609	2016-02-20 10:11	BacM of Myxococcus xanthus forms an extended beta-sheet structure likely mediated by hydrophobic interactions [BacM]
34	4126706	25998248	2016-07-30 11:20	Data suggest BtkB exhibits conserved amino acid motifs similar to BtkA; BtkB is activated by autophosphorylation of cytoplasmic catalytic domain; activity is not dependent on autophosphorylation in C-terminal tyrosine. [BtkB, Bruton's tyrosine kinase B]
34	4126706	26639551	2016-10-22 11:28	EpsW, an orphan and single-domain response regulator (RR), was identified as a potential DifE target first by bioinformatics.[EpsW, DifE]
34	4126706	26851283	2016-08-06 11:58	The type IV pilus assembly ATPase PilB of Myxococcus xanthus interacts with the inner membrane platform protein PilC and the nucleotide-binding protein PilM. [PilB], [PilC], [PilM]
34	4126706	26951374	2017-06-24 12:36	Point mutations at the six Cys residues of the CRD have revealed the contribution of each residue to CorE2 activity. However, importantly, mutation of Cys174 completely shifts the specificity of CorE2 from cadmium to copper, indicating that the Cys arrangement of the CRD determines the metal specificity
34	4126706	27214040	2017-05-27 11:23	Because DmxB can be-at least partially-functionally replaced by a heterologous diguanylate cyclase, these results altogether suggest a model in which a minimum threshold level of c-di-GMP is essential for the successful completion of multicellular development in M. xanthus
34	4126706	27487931	2017-11-25 14:07	Crystal structure of AibC, a reductase involved in alternative de novo isovaleryl coenzyme A biosynthesis in Myxococcus xanthus, has been reported. [AibC]
34	4126706	27621281	2017-07-15 10:17	MXAN_1078 (named pxrR here) was found to positively regulate pxr transcription, presumably via the sigma(54) promoter of pxr.[pxrR]
34	4126706	27990630	2017-05-13 19:38	the bacterial MxSafC exhibits excellent regioselectivity for para as well as for meta methylation, depending on the substrate's characteristics.[MxSafC]
34	4126706	28320967	2018-05-12 11:31	Data show that TraA requires TraB to form an active adhesin for self-recognition. In the absence of TraB, TraA localizes to the cell surface but does not function in cell- binding. TraA contains a predicted sorting motif, MYXO-CTERM, contributing to its cell surface display. TraB, with a beta-barrel and cell wall binding domain, may help anchor TraA to the cell envelop during adhesion and outer membrane exchange. [TraA...
34	4126706	28552618	2017-08-26 11:02	Expression, purification, and characterization of a novel acidic Lipoxygenase (LOX) from Myxococcus xanthus has been reported. [LOX]
34	4126706	29127456	2018-08-25 11:08	Ppk1 catalyzed the transfer of a phosphate group between ADP molecules yielding ATP and AMP, thus exhibiting adenylate kinase activity.[Ppk1]
41	9909664	22311133	2013-04-13 10:32	[AuaA]asparagine, but not the arginine residue in NRxxDxxxD, is important for the enzyme activity of AuaA
56	5814795	27567992	2017-05-13 17:14	CYP260A1 exhibited an electrocatalytic activity detected by an increase of the reduction current in the presence of dissolved oxygen and upon addition of the substrate (androstenedione) in the air-saturated buffer.
56	5814795	27878817	2017-05-20 10:13	Structural characterization of CYP260A1 from Sorangium cellulosum and its catalytic activity towards a mineralocorticoid has been reported. [CYP260A1]
106	10894418	29884622	2018-08-25 11:14	Study characterizes the Tpt1 enzyme from Runella slithyformis as a bona fide NAD+-dependent RNA 2'-phosphotransferase. Its biological activity relies on a conserved histidine and three conserved arginine that were shown to be essential for the in vivo activity of S. cerevisiae Tpt1 and E. coli KptA. [Tpt1]
139	2827859	25486989	2016-02-06 12:27	Thus, the BBK32 fibronectin- and glycosaminoglycan-binding activities are separable in vivo, and BBK32-mediated glycosaminoglycan binding, but not fibronectin binding, contributes to joint colonization.[BBK32]
139	2827859	25560615	2016-01-16 12:12	results suggest that BBA33 interacts with collagenous structures and may function as an adhesin in a process that is required to prevent bacterial clearance [BBA33]
139	2827859	26223367	2015-11-21 11:58	insights into why the number of basic amino acids in the GAG-binding site of DBPA may not be the only factor determining GAG affinity of proteins (decorin binding protein A (DBPA)
139	2827859	26318670	2016-10-08 10:03	Thus, activation of rpoS transcription by BosR somehow involves Arg39.[rpoS, BosR]
139	2827859	26331438	2016-11-05 12:09	BadR directly influences the expression of both rpoS and bosR in Borrelia burgdorferi [Bb]. This newly recognized role for BadR to fine-tune the activation of the RpoN-RpoS pathway at strategic times in Bb's life cycle.[BadR].
139	2827859	26480895	2016-10-29 10:17	HtrA proteases were reversibly inhibited by ZnCl2 at all micro molar concentrations. [HtrA]
139	2827859	26808924	2016-05-14 12:35	we show that the causative agent of Lyme disease, Borrelia burgdorferi, expresses a surface-protein termed BBK32 that targets and inhibits the first component of complement, designated C1
139	2827859	26977110	2017-04-10 11:53	Study demonstrates that phosphorylation of the receiver domain is essential for both functions of Rrp2, the function as a bEBP to activate sigma 54-dependent gene transcription and the function required for cell growth. [Rrp2]
139	2827859	27206578	2017-05-20 14:54	The Borrelia burgdorferi CheY3 response regulator is essential for chemotaxis and completion of its natural infection cycle.[CheY]
139	2827859	28873507	2018-06-23 11:55	These data show that Borrelia burgdorferi OspC inhibits the classical and lectin complement pathways and competes with complement protein C2 for C4b binding.[OspC]
139	2827859	29610317	2018-09-01 11:20	A unique innate immune evasion strategy of B. burgdorferi is orchestrated by the BBA57 surface protein through its modulation of multiple spirochete virulent determinants. Its function is critical for early infection but not for later stages of spirochetal persistence, either in mammals or ticks. The protein influences host IFN responses as well as suppresses multiple host microbicidal activities. BBA57.
139	13917590	23692497	2014-03-01 11:36	These results indicate that OspC can substitute for VlsE when antigenic variation is unnecessary, but that these two abundant lipoproteins are optimized for their related but specific roles during early and persistent mammalian infection.
139	13917590	23962611	2014-07-12 10:45	The dominant ospC types associated with B. burgdorferi canine infections differed from those associated with human infection, indicating a relationship between ospC sequence and preferred host range.
139	13917590	24363169	2014-12-20 11:02	In the title.
139	13917590	26438793	2016-02-20 10:23	OspC is an antiphagocytic factor that protects Borrelia burgdorferi from phagocytosis by macrophages.
139	13917590	26953324	2017-05-20 14:00	Here the authors show that the related, tick-specific protein OspB can fully substitute for OspA, whereas the unrelated, mammal-specific protein OspC cannot.
139	13917590	28142214	2017-07-22 12:35	Epitope mapping of Borrelia burgdorferi OspC protein in homodimeric fold.
140	16191004	24866803	2014-09-13 12:12	Deletion of fhbA abolished complement factor H binding and eliminated cleavage of C3b on the cell surface, however, the YORDeltafhbA strain remained infectious in mice and retained resistance to killing in vitro by human complement.
154	9777782	25625648	2016-01-16 11:59	Ion channel gating mechanism of a bacterial, cyclic AMP activated, potassium channel. [SthK]
154	9777782	26868291	2017-04-29 10:06	Spirochaeta thermophila secretes seven glycoside hydrolases for plant biomass degradation that carry a carbohydrate-binding module 64 (CBM64) appended at the C-terminus. Presented is the first crystal structure of a CBM64 at 1.2 A resolution. [glycoside hydrolase]
154	9777782	28179427	2017-06-24 10:08	The structure of S. thermophila StCBM64C revealed an untwisted, flat, carbohydrate-binding interface comprising the side chains of four tryptophan residues in a co-planar linear arrangement. Significantly, two highly conserved asparagine side chains, each one located between two tryptophan residues, are critical to insoluble and soluble glucan recognition but not to bind xyloglucan. [StCBM64C]
158	2827861	15664975	2010-01-21 00:00	Strains with mutations in either the prcA-prtP or the msp region showed altered expression of the other locus.  (msp = major outer sheath protein)
158	2827861	17101650	2010-01-21 00:00	The gene encoding the Treponema denticola factor H-like protein 1 (FHL-1) binding protein, FhbB, was recovered and characterized [FhbB]
158	2827861	17868382	2010-01-21 00:00	Msp inhibits the polarized accumulation of activated Rac and PI3-kinase products upon exposure to formyl-methionyl-leucyl-phenylalanine (fMLP).  [major outer sheath protein (Msp)]
158	2827861	19054094	2010-01-21 00:00	These data suggest that major outer sheath protein (MSP) acts as an adhesin during the coaggregation process of T. denticola with P. gingivalis and F. nucleatum through its protein and carbohydrate moieties, respectively. [MSP]
158	2827861	19204088	2010-01-21 00:00	In this study we demonstrated with a pull-down assay that purified full-length recombinant lipoprotein FhbB (lacking the leader peptide) binds exclusively to FH and not to FHL-1(factor H-like protein 1). [FhbB]
158	2827861	20618698	2010-10-23 11:04	Hpk2 and Rrp2 constitute a functional two-component system that contributes to environmental sensing [Hpk2, Rrp2]
158	2827861	20635859	2011-07-16 10:23	dentipain contributes to the virulence of T. denticola [dentipain]
158	2827861	21636910	2011-08-20 10:49	FhbB crystals diffracted to 1.8 A resolution and belonged to space group P4(3)2(1)2 or P4(1)2(1)2, with unit-cell parameters a = b = 46.76, c = 167.68 A[FhbB]
158	2827861	22184422	2012-04-14 10:29	In contrast, a deficiency of the Treponema denticola major outer sheath protein increased resistance to LL-37.[major outer sheath protein]
